model,domain,slope_all_30,r_all_30,p_all_30,slope_pos_29,r_pos_29,p_pos_29,slope_change,r_change
GPT-4o-mini,philosophy,0.0008613483870967738,0.04910121316308398,0.7966646257236191,0.0003227453201970439,0.017581348287598702,0.927873528278343,-0.0005386030668997298,-0.031519864875485276
GPT-4o,philosophy,-0.0013961652947719694,-0.07195641553206435,0.7055307863166798,-0.0021145482758620692,-0.10395067283562981,0.591526501302237,-0.0007183829810900998,-0.03199425730356546
Claude Haiku,philosophy,0.0009969492769744159,0.06633223545649655,0.7276429466518872,0.001464232019704434,0.09281436181679438,0.6320305327436123,0.0004672827427300182,0.026482126360297828
Gemini Flash,philosophy,0.001029728587319244,0.06552524147491673,0.7308338867696104,0.0008201379310344824,0.04968564138398634,0.7979865003122879,-0.0002095906562847615,-0.01583960009093039
DeepSeek V3.1,philosophy,0.0029700927697441605,0.2790543492397803,0.13534676290627817,0.0020077561576354675,0.19133234340086633,0.3200970134423013,-0.000962336612108693,-0.08772200583891396
Llama 4 Maverick,philosophy,0.0016713023359288097,0.10347008081875497,0.5863645354662264,0.0010627921182266012,0.06316878466269113,0.744775225371259,-0.0006085102177022085,-0.04030129615606384
Llama 4 Scout,philosophy,0.00045000155728587305,0.0218068805129265,0.9089370981281023,-0.00013968128078817709,-0.006459103184788462,0.9734723763141402,-0.0005896828380740502,-0.028265983697714964
Qwen3 235B,philosophy,0.002229136818687431,0.13397017903169445,0.4803144837827258,0.0020651266009852213,0.11824749387417982,0.5412516054719747,-0.00016401021770220958,-0.015722685157514626
Mistral Small 24B,philosophy,-0.001081091212458287,-0.06714799001598547,0.7244218968715689,-0.0018053152709359612,-0.10721405282649299,0.5798742763887809,-0.0007242240584776742,-0.04006606281050752
Ministral 14B,philosophy,0.0026363174638487207,0.15459582710234335,0.4146732653448393,0.0026264315270935965,0.14655579262066995,0.4480790536936965,-9.885936755124267e-06,-0.008040034481673397
Kimi K2,philosophy,0.005246708120133481,0.3757957256691538,0.04070142750538328,0.005912219704433498,0.40254461780153744,0.03039161877458298,0.0006655115843000169,0.026748892132383628
Gemini Flash,medical,0.004796463181312567,0.2651778975512529,0.15670993475557504,0.0023830261083743836,0.14184717133462763,0.4629526362337545,-0.0024134370729381838,-0.12333072621662525
Claude Haiku,medical,0.00571514638487208,0.3050384220382932,0.10119158458742897,0.0023744832512315275,0.1523868464538255,0.4300206238794526,-0.003340663133640553,-0.15265157558446768
GPT-4o,medical,0.004037420244716351,0.16865689814360388,0.37296908451631194,-0.0001391059113300493,-0.006660570199933238,0.9726452498033245,-0.0041765261560464005,-0.17531746834353712
GPT-4o-mini,medical,0.002009168631813125,0.1266908477758674,0.5046923003443333,0.00015398669950738867,0.009972273981794424,0.9590535845423995,-0.001855181932305736,-0.11671857379407297
